,S&P GSCI,GOLD,MSCI World
2009-03-17,10.39002310881183,,-4.398781355555215
2009-03-18,10.156542221598318,,-4.193927481029325
2009-03-19,10.983113412973866,,-4.033526706559232
2009-03-20,10.996824910428282,,-4.23180373034816
2009-03-23,11.151928922229203,,-3.762038387623401
2009-03-24,11.010871740636375,,-3.7839046949955324
2009-03-25,10.631047509497883,,-3.623673869576971
2009-03-26,10.698187477462518,,-3.3676409805129093
2009-03-27,10.221778938266901,,-3.6142329371347426
2009-03-30,9.61300578503117,,-3.8650651166568406
2009-03-31,9.495606886022268,,-3.801729846226043
2009-04-01,9.435789139334872,,-3.6570379433611078
2009-04-02,10.081533431221846,,-3.2492623110440766
2009-04-03,10.214298503864061,,-3.240945850962451
2009-04-06,9.977622162052269,,-3.3420546530986917
2009-04-07,9.579700363706767,,-3.6485696633287046
2009-04-08,9.71580395120355,,-3.6809910225764297
2009-04-09,9.984062972028717,,-3.373768300459723
2009-04-13,9.630281669760453,,-3.346448484215847
2009-04-14,9.77271928483805,,-3.3362667344538632
2009-04-15,9.789849232879956,,-3.33589773728471
2009-04-16,9.657246594281442,,-3.1436126350996796
2009-04-17,9.51041589747723,,-3.112855769560463
2009-04-20,8.86555775062019,,-3.5909638416406597
2009-04-21,8.786740919186986,,-3.577496598495311
2009-04-22,8.835219053626453,,-3.5901147843227843
2009-04-23,8.965456293125351,,-3.5585576354948634
2009-04-24,9.125148939515459,,-3.301541101694183
2009-04-27,8.853302187930456,,-3.301176306079301
2009-04-28,9.05346222907568,,-3.325312532404834
2009-04-29,9.342978074167373,,-3.1315817486036623
2009-04-30,9.129135489026163,,-3.1100735144975467
2009-05-01,9.559310697986344,,-3.1494832941921014
2009-05-04,9.625854570911873,,-2.930485507437375
2009-05-05,9.649166820102195,,-3.03578014050242
2009-05-06,9.892716394083667,,-2.9781207352923555
2009-05-07,9.921768627357096,,-3.0524221460019096
2009-05-08,10.105117748229375,,-2.822323077691935
2009-05-11,10.12075536772592,,-2.908906222524532
2009-05-12,10.131382859508363,,-2.897020546266693
2009-05-13,10.005524924962339,,-3.1581735132045763
2009-05-14,10.090886378976794,,-3.136085599297622
2009-05-15,9.816143135807742,,-3.091416523707613
2009-05-18,10.1023687534741,,-2.980956863863038
2009-05-19,9.950853463138642,,-2.96332375434597
2009-05-20,10.125192379367576,,-2.7857606563469917
2009-05-21,9.950882886765955,,-3.0399402253628027
2009-05-22,10.022371178145374,,-2.886269320417867
2009-05-26,10.053382793875087,,-2.6953088482940535
2009-05-27,10.157520617496662,,-2.6457741068768637
2009-05-28,10.567348226412587,,-2.5423214619550993
2009-05-29,10.805220483368561,,-2.365000840772691
2009-06-01,11.09688026679494,,-2.1892026134799236
2009-06-02,11.181044914814686,,-2.341613450468938
2009-06-03,10.919812904274483,,-2.2365185100774787
2009-06-04,11.145333597409767,,-2.232077114176456
2009-06-05,11.130594324581654,,-2.245068441540987
2009-06-08,11.107182026082075,,-2.2905617395584277
2009-06-09,11.590657165924867,,-2.155220000050595
2009-06-10,11.768732316830866,,-2.0575258817551068
2009-06-11,12.004475244859991,,-1.8926310894829657
2009-06-12,11.801267917978508,,-1.8928460984156126
2009-06-15,11.78566694977441,,-2.0508756467169653
2009-06-16,11.743983669609559,,-2.2059083633582777
2009-06-17,11.745133377451733,,-2.3460914875098937
2009-06-18,11.800197608909023,,-2.425010181029219
2009-06-19,11.625508739642232,,-2.423800215720673
2009-06-22,11.423362866035669,,-2.7260098882873396
2009-06-23,11.475449084074384,,-2.721185232993306
2009-06-24,11.387281439055208,,-2.5505986666078506
2009-06-25,11.387722266376276,,-2.6006291811828564
2009-06-26,11.062015683649374,,-2.673556236360952
2009-06-29,11.33832636936316,,-2.594616661356619
2009-06-30,10.97276986237221,,-2.7329331476845464
2009-07-01,10.967488662292046,,-2.5482968492939184
2009-07-02,10.436126826874247,,-2.755499097286196
2009-07-06,10.064772357843687,,-2.7515280047326063
2009-07-07,9.883454903583978,,-2.774758401545585
2009-07-08,9.70211848290643,,-2.9721732895455655
2009-07-09,9.776822728627677,,-2.855735614902255
2009-07-10,9.72837464795273,,-3.0851033552459217
2009-07-13,9.852432912821474,,-2.9842547809558084
2009-07-14,9.964673175891114,,-2.818607453801314
2009-07-15,10.066056251086364,,-2.520972086062334
2009-07-16,10.212663657268095,,-2.5090791943080504
2009-07-17,10.422173530733359,,-2.487891221576244
2009-07-20,10.617191604700626,,-2.3251643460884486
2009-07-21,10.547478913335784,,-2.1973754254132505
2009-07-22,10.307534893971182,,-2.1087127172862763
2009-07-23,10.59114509182355,,-1.8700353629098831
2009-07-24,10.66527749924646,,-1.8930813840595695
2009-07-27,10.788782632074344,,-1.878853189580354
2009-07-28,10.612548314529114,,-1.8326024047378597
2009-07-29,10.161077015902675,,-1.832404717255498
2009-07-30,10.618280697690729,,-1.5756097279997605
2009-07-31,10.874870654413748,,-1.4368432524338615
2009-08-03,11.159627573947972,,-1.2733850166286698
2009-08-04,11.185192091766316,,-1.2777455962279083
2009-08-05,11.175773767416185,,-1.2639459217577254
2009-08-06,11.006249751571051,,-1.393725924745115
2009-08-07,10.920740191114797,,-1.3694910792505066
2009-08-10,11.159982599721573,,-1.5049738855743233
2009-08-11,11.009155882305176,,-1.6035173667041436
2009-08-12,10.967952677490512,,-1.6238041532730563
2009-08-13,10.745425081354565,,-1.528767236644546
2009-08-14,10.470091845355768,,-1.6444987769016706
2009-08-17,10.396189187304671,,-1.93815909263928
2009-08-18,10.558611957480757,,-1.7460454765740319
2009-08-19,10.699500408760908,,-1.527945998358804
2009-08-20,10.666822075570238,,-1.416366154827775
2009-08-21,10.63338485851515,,-1.0713948228019965
2009-08-24,10.755053015765403,,-0.9553592382383402
2009-08-25,10.373324233903713,,-1.0187235618560608
2009-08-26,10.254974334419886,,-1.1836456566983955
2009-08-27,10.208438847532753,,-1.1691004622092604
2009-08-28,10.138075077492958,,-1.2016804602462017
2009-08-31,9.788835860876798,,-1.2514805708990995
2009-09-01,9.505605063197752,,-1.404043008001865
2009-09-02,9.559723002740817,,-1.4914774199301206
