,S&P GSCI
2010-07-01,7.99628875764915
2010-07-02,7.844271548741655
2010-07-06,7.684532994412963
2010-07-07,7.819640695718855
2010-07-08,7.983552508978575
2010-07-09,8.042406162780447
2010-07-12,8.082261292824743
2010-07-13,8.48318141103963
2010-07-14,8.297921389791728
2010-07-15,8.130518453806967
2010-07-16,7.842684434919178
2010-07-19,7.899759369131698
2010-07-20,8.036816134723047
2010-07-21,7.879442598629693
2010-07-22,8.247147945872202
2010-07-23,8.046454751671671
2010-07-26,8.142822967864571
2010-07-27,8.012087176860971
2010-07-28,8.444890914736213
2010-07-29,8.762064885807552
2010-07-30,8.804549382529947
2010-08-02,9.165864635475774
2010-08-03,9.232294414902409
2010-08-04,9.281690214041681
2010-08-05,9.100738260078579
2010-08-06,9.0036969558837
2010-08-09,9.19038629684341
2010-08-10,8.863378242913456
2010-08-11,8.771445289543012
2010-08-12,8.728934622366635
2010-08-13,8.901097923795366
2010-08-16,9.03973187696403
2010-08-17,9.183549001319413
2010-08-18,9.136820607806495
2010-08-19,8.976160980540882
2010-08-20,8.839634918650741
2010-08-23,8.942242380521837
2010-08-24,8.667213415875041
2010-08-25,8.538922788967863
2010-08-26,8.622114020503101
2010-08-27,8.577300048874491
2010-08-30,8.764307595591013
2010-08-31,8.463757426791684
2010-09-01,8.474319423545396
2010-09-02,8.408071549989105
2010-09-03,8.46169815571769
2010-09-07,8.422573640722852
2010-09-08,8.528817129459831
2010-09-09,8.469662371499176
2010-09-10,8.538838945634675
2010-09-13,8.58877436750567
2010-09-14,8.484113064880617
2010-09-15,8.619847953848204
2010-09-16,8.333635220083968
2010-09-17,8.377973721530996
2010-09-20,8.369453551283556
2010-09-21,8.115493747107227
2010-09-22,8.067054351621405
2010-09-23,7.976661237817151
2010-09-24,8.134109118246013
2010-09-27,8.061105355167953
2010-09-28,7.910338913241111
2010-09-29,7.877066731918947
2010-09-30,7.912068722647425
2010-10-01,8.303085979372282
2010-10-04,7.9961931263829555
2010-10-05,8.324379991953812
2010-10-06,8.528096427756804
2010-10-07,8.354566472510472
2010-10-08,8.361756507069362
2010-10-11,8.2416938014648
2010-10-12,8.365715072414526
2010-10-13,8.475612708327972
2010-10-14,8.614234345473747
2010-10-15,8.702010407627014
2010-10-18,8.97578150041105
2010-10-19,8.654601818241003
2010-10-20,8.874608603858892
2010-10-21,8.994092005908549
2010-10-22,8.969493058374645
2010-10-25,8.790659140452629
2010-10-26,8.825610685781871
2010-10-27,8.870988393760658
2010-10-28,9.115403737093297
2010-10-29,9.066879300452758
2010-11-01,8.956949794668013
2010-11-02,8.772396971003559
2010-11-03,8.706174445431758
2010-11-04,8.49766450540137
2010-11-05,8.90997069070114
2010-11-08,9.31452073034098
2010-11-09,9.396791588264342
2010-11-10,9.48692197286305
2010-11-11,9.63218289548915
2010-11-12,9.102830150420571
2010-11-15,8.998799488282238
2010-11-16,8.747818893250802
2010-11-17,8.790989593504172
2010-11-18,8.952780447181174
2010-11-19,9.062625332817408
2010-11-22,9.052270035312793
2010-11-23,9.039446819273401
2010-11-24,9.17067685976367
2010-11-26,9.228485577092528
2010-11-29,9.285165058241862
2010-11-30,9.148585046456304
2010-12-01,9.32278014064054
2010-12-02,9.427855586267707
2010-12-03,9.419607389225714
2010-12-06,9.45095322048295
2010-12-07,9.308308185087387
2010-12-08,9.16059136199172
2010-12-09,8.946195642429444
2010-12-10,9.060612418913072
2010-12-13,9.03731075042733
2010-12-14,8.904739586235744
2010-12-15,8.888848706727615
2010-12-16,8.742245531631209
2010-12-17,8.798447542643494
2010-12-20,8.95196648130392
2010-12-21,9.304372132273485
2010-12-22,9.323928583147346
2010-12-23,9.377923388479514
2010-12-27,9.619917157320291
2010-12-28,9.584440595085496
2010-12-29,9.849967746677146
2010-12-30,9.388961227351157
2010-12-31,9.720711358569423
2011-01-03,9.902597508811727
2011-01-04,9.37732653850758
2011-01-05,9.811836151128883
2011-01-06,9.982178981300539
2011-01-07,10.170614974209812
2011-01-10,9.976601075231972
2011-01-11,9.996146732127432
2011-01-12,10.135361048095648
2011-01-13,10.469726470364481
2011-01-14,10.3736979335606
2011-01-18,10.425277574911163
2011-01-19,10.282161450672822
2011-01-20,10.088479684768025
2011-01-21,10.247674226226833
2011-01-24,9.882004862234716
2011-01-25,10.04453380515702
2011-01-26,10.189393583590945
2011-01-27,9.890479400803432
2011-01-28,10.060218928819943
2011-01-31,10.352784108753088
2011-02-01,10.347650618151993
2011-02-02,10.336498743274557
2011-02-03,10.409773743941187
2011-02-04,10.344474712408825
2011-02-07,10.430420578947253
2011-02-08,10.884433296017804
2011-02-09,10.778655612269027
2011-02-10,10.483800663948472
2011-02-11,10.500519754929648
2011-02-14,10.723337665503552
2011-02-15,10.699844417546522
2011-02-16,10.694737596313008
2011-02-17,10.689654261940994
2011-02-18,11.030890400605276
2011-02-22,11.253562099334168
2011-02-23,11.67771078184412
2011-02-24,11.231215211724187
2011-02-25,11.011622947414512
2011-02-28,11.393838163089743
2011-03-01,11.571080058423245
2011-03-02,11.455363623338544
2011-03-03,11.430775517104053
2011-03-04,11.667527255161648
2011-03-07,11.861631871898304
2011-03-08,11.73398676410593
2011-03-09,11.971372951321957
2011-03-10,11.987526448949026
2011-03-11,11.842083586869201
2011-03-14,11.934385730088026
2011-03-15,11.59575401637194
2011-03-16,11.646475921857192
2011-03-17,11.9722122336259
2011-03-18,12.115583547691266
2011-03-21,12.19138365462047
2011-03-22,12.408010667259074
2011-03-23,12.39059547378847
2011-03-24,12.358123351155538
2011-03-25,12.167464254240556
2011-03-28,12.079899663476667
2011-03-29,12.008007015029708
2011-03-30,12.114632486538014
2011-03-31,12.47595713693519
2011-04-01,12.550777631075727
2011-04-04,12.774434877204088
2011-04-05,13.102330667818496
2011-04-06,13.151585985330883
2011-04-07,13.175584100566272
2011-04-08,13.508505862830521
2011-04-11,13.331514744187967
2011-04-12,12.970908207891284
2011-04-13,13.082030499228402
2011-04-14,12.893474126942483
2011-04-15,12.9355681289838
2011-04-18,12.62156689089724
2011-04-19,12.987322850035588
2011-04-20,13.27281503887685
2011-04-21,13.459360734202107
2011-04-25,13.570055316698305
2011-04-26,13.397388627830686
2011-04-27,13.131821369711293
2011-04-28,13.007395416095523
2011-04-29,13.194467128337317
2011-05-02,13.024425939691264
2011-05-03,12.558389900697264
2011-05-04,12.447445475207441
2011-05-05,11.644849911458621
2011-05-06,11.3282633657529
2011-05-09,11.836248881287649
2011-05-10,12.070513620585487
2011-05-11,11.708651410430605
2011-05-12,11.81021179319426
2011-05-13,11.87026561150506
2011-05-16,11.877715507606968
2011-05-17,11.777189142006605
2011-05-18,11.869775518315627
2011-05-19,11.792949214948978
2011-05-20,11.872227737945963
2011-05-23,11.595675051406374
2011-05-24,11.966913423648574
2011-05-25,11.99570705688524
2011-05-26,11.973977041515083
2011-05-27,12.20157369184891
2011-05-31,12.399155110982951
2011-06-01,12.135576699894512
2011-06-02,12.085431312255789
2011-06-03,12.168269267422449
2011-06-06,12.026088262350832
2011-06-07,11.985678456804427
2011-06-08,12.204630296154617
2011-06-09,12.280934912212093
2011-06-10,11.918914492110023
2011-06-13,11.859186788465648
2011-06-14,12.030540200896866
2011-06-15,11.69383690849295
2011-06-16,11.856208090364383
2011-06-17,11.847550257608885
2011-06-20,11.819576597122916
2011-06-21,11.8373590772062
2011-06-22,11.955599392703832
2011-06-23,11.581911746461259
2011-06-24,11.491201201067526
2011-06-27,11.463571973985909
2011-06-28,11.834226175419094
2011-06-29,12.066281084866137
2011-06-30,11.87089534340522
2011-07-01,11.619208056157483
2011-07-05,11.710295575961037
2011-07-06,11.769415451616428
2011-07-07,12.053251317157532
2011-07-08,12.101207070214471
2011-07-11,12.215594573506916
2011-07-12,12.36224153934149
2011-07-13,12.859977080179142
2011-07-14,12.703843868869779
2011-07-15,12.771864448239212
2011-07-18,12.674677997523599
2011-07-19,12.829350552705066
2011-07-20,13.216606162894617
2011-07-21,13.243900289655809
2011-07-22,13.221863037768822
2011-07-25,13.239540908996439
2011-07-26,13.259498767105725
2011-07-27,13.034056487536194
2011-07-28,12.740606026646795
2011-07-29,12.75368660753795
2011-08-01,12.731694497958701
2011-08-02,12.758974975432169
2011-08-03,12.507268305379672
2011-08-04,12.215669084418156
2011-08-05,12.362115456615651
2011-08-08,11.884440578686494
2011-08-09,11.977289995422424
2011-08-10,12.360682360134545
2011-08-11,12.434100117008938
2011-08-12,12.394542372700812
2011-08-15,12.54407817977996
2011-08-16,12.277829837069444
2011-08-17,12.427185005448326
2011-08-18,12.013127389742984
2011-08-19,12.182916355301021
2011-08-22,12.344648281909375
2011-08-23,12.466602116557258
2011-08-24,12.201552313054087
