Date,S&P GSCI,GOLD,EUR-USD,MSCI World
1971-10-28,,42.75,,
1971-10-29,,42.65,,
1971-11-01,,42.45,,
1971-11-03,,42.5,,
1971-11-05,,42.65,,
1971-11-08,,42.7,,
1971-11-09,,42.85,,
1971-11-10,,42.95,,
1971-11-11,,42.55,,
1971-11-12,,43.0,,
1971-11-15,,43.15,,
1971-11-16,,43.1,,
1971-11-17,,43.15,,
1971-11-18,,43.45,,
1971-11-19,,43.4,,
1971-11-22,,43.55,,
1971-11-24,,43.75,,
1971-11-29,,43.95,,
1971-12-01,,43.85,,
1971-12-02,,44.05,,
1971-12-03,,44.1,,
1971-12-06,,44.2,,
1971-12-07,,44.1,,
1971-12-08,,43.75,,
1971-12-09,,43.95,,
1971-12-10,,44.0,,
1971-12-13,,43.95,,
1971-12-15,,43.9,,
1971-12-16,,43.5,,
1971-12-17,,43.05,,
1971-12-21,,43.4,,
1971-12-22,,43.65,,
1971-12-23,,43.7,,
1971-12-29,,43.85,,
1972-01-03,,44.3,,0.0
1972-01-04,,44.7,,0.0028762743392674
1972-01-05,,44.85,,0.009560229584969
1972-01-06,,45.55,,0.0492424683027912
1972-01-07,,46.15,,0.0009025132794842
1972-01-10,,46.05,,-0.0036068667301646
1972-01-11,,45.55,,0.004524886877828
1972-01-12,,45.6,,0.0018017743084881
1972-01-13,,45.75,,-0.0044964030010965
1972-01-14,,46.25,,0.0045167119583009
1972-01-17,,46.5,,0.0035971361228102
1972-01-18,,46.15,,0.0026881994252658
1972-01-19,,46.2,,0.0
1972-01-20,,,,0.0008936414008713
1972-01-21,,,,-0.0008928435189383
1972-01-24,,46.3,,-0.0080429089687792
1972-01-25,,46.45,,0.0
1972-01-26,,46.5,,0.0
1972-01-27,,46.85,,0.0090090090090089
1972-01-28,,47.6,,0.0062499727521623
1972-01-31,,47.45,,0.0008873656275389
1972-02-01,,48.4,,0.0
1972-02-02,,49.5,,0.0053191352649679
1972-02-03,,48.3,,0.0
1972-02-04,,47.3,,0.0
1972-02-07,,47.9,,-0.0017637087737699
1972-02-08,,48.4,,0.0017668249384155
1972-02-09,,,,0.0052909917640888
1972-02-10,,48.75,,0.0035087853147273
1972-02-11,,48.55,,-0.0034965167879689
1972-02-14,,48.15,,-0.0043859649122807
1972-02-15,,48.25,,0.0044052863436123
1972-02-16,,48.55,,0.0043859649122806
1972-02-17,,48.65,,0.0026201139891512
1972-02-18,,48.7,,0.0
1972-02-21,,,,0.0008710668245888
1972-02-22,,48.95,,0.0008703087275292
1972-02-23,,,,0.0034782741380774
1972-02-24,,49.15,,0.0034662176827546
1972-02-25,,48.8,,0.0060448784956363
1972-02-28,,48.75,,0.0008583560010393
1972-02-29,,48.5,,0.0025729250058643
1972-03-01,,48.35,,0.0042771599099535
1972-03-02,,48.55,,0.0
1972-03-03,,48.35,,0.0042589437265874
1972-03-06,,48.55,,0.0042408820485915
1972-03-07,,48.6,,0.0016891633924385
1972-03-08,,48.4,,0.0008431574654945
1972-03-09,,48.7,,0.0016849585743792
1972-03-10,,48.65,,-0.0042052144119709
1972-03-13,,48.75,,-0.0067567824446602
1972-03-14,,48.7,,0.0025510463915849
1972-03-15,,48.65,,0.0016963269351466
1972-03-16,,48.7,,-0.0008467271415164
1972-03-17,,48.67,,0.0025423987437103
1972-03-20,,48.7,,-0.0025359513441987
1972-03-21,,,,-0.0042372881355932
1972-03-22,,48.65,,0.0025532174617686
1972-03-23,,,,0.00594224898224
1972-03-24,,,,-0.0025316713228507
1972-03-27,,48.6,,0.0
1972-03-28,,,,-0.000846010801209
1972-03-29,,48.7,,-0.0025401814245494
1972-03-30,,48.65,,0.0042444820632161
1972-03-31,,,,0.0
1972-04-03,,,,0.0033811824697027
1972-04-04,,48.7,,0.0042123000240514
1972-04-05,,,,0.0067114351697943
1972-04-06,,48.6,,0.0033333460489908
1972-04-07,,48.65,,0.0024916563003432
1972-04-10,,48.7,,-0.0008284877932844
1972-04-11,,48.8,,0.0008291747544471
1972-04-12,,49.2,,0.0066280287654096
1972-04-13,,49.25,,0.0
1972-04-14,,49.65,,-0.0016460654176311
1972-04-17,,49.7,,-0.0032976217297226
1972-04-18,,49.75,,0.0016542344558976
1972-04-19,,49.7,,-0.0033030679679519
1972-04-20,,49.65,,0.0
1972-04-21,,49.6,,-0.0008284877932844
1972-04-24,,49.65,,-0.005804286543108
1972-04-25,,49.55,,-0.0058382366032383
1972-04-26,,,,-0.0016778267899539
1972-04-27,,49.75,,0.0016806466238838
1972-04-28,,49.9,,0.0041946309798741
1972-05-01,,50.65,,0.0
1972-05-02,,,,-0.0091896282553518
1972-05-03,,50.7,,0.0
1972-05-04,,50.65,,0.0008431574654945
1972-05-05,,51.3,,0.0025274057242699
1972-05-08,,52.25,,-0.0042016806722688
1972-05-09,,54.0,,-0.0109704898882515
1972-05-10,,53.4,,0.004266211715183
1972-05-11,,53.3,,0.0050977580210089
1972-05-12,,53.2,,0.0050718381964756
1972-05-15,,53.4,,0.0050462444610692
1972-05-16,,54.9,,0.0
1972-05-17,,54.6,,0.0016736146296416
1972-05-18,,57.15,,0.0075188099317
1972-05-19,,57.35,,0.0082918740684279
1972-05-22,,57.65,,0.0024671303908088
1972-05-23,,57.75,,0.0008203320169759
1972-05-24,,57.35,,0.0032787010317942
1972-05-25,,57.3,,0.0024509429626098
1972-05-26,,58.25,,0.0008150456886955
1972-05-29,,,,0.0008143198015959
1972-05-30,,58.85,,-0.0032546909756927
1972-05-31,,59.75,,-0.004897946727519
1972-06-01,,59.5,,0.0
1972-06-02,,59.7,,0.0016406640339519
1972-06-05,,59.8,,-0.0049139924784541
1972-06-06,,61.8,,-0.0041152263374485
